EmployeeID,Name,Email,Phone,Department,Position,JoinDate,SalaryUSD

EMP001,William Moore,daniel28@williams-king.com,201.691.1323x13629,HR,Recruiter,2024-12-17,1455

EMP002,Darrell Cox,nixonjohn@gmail.com,9302162744,IT Support,IT Technician,2025-09-27,4641

EMP003,Matthew Rich,fball@hotmail.com,120.666.3426x028,IT Support,Support Specialist,2024-11-03,2556

EMP004,Stacey Turner,amber98@hughes-thomas.org,3264372190,Operations,Logistics Coordinator,2021-06-11,3993

EMP005,Isaac Bailey,christopher25@hotmail.com,001-020-719-0743x36638,IT Support,IT Technician,2021-07-26,2579

EMP006,Sherry Crawford,taylorchad@gmail.com,(504)880-7930,Finance,Finance Manager,2025-05-07,1918

EMP007,Christian Martin PhD,bergjennifer@davis.org,+1-005-306-0056x215,IT Support,IT Technician,2024-05-20,1526

EMP008,Kent Baker,derrickevans@yahoo.com,+1-436-828-0418x3180,Operations,Operations Manager,2025-10-01,2552

EMP009,Samantha Kerr,theresa14@craig.com,433.621.3068x542,Operations,Logistics Coordinator,2025-01-14,3285

EMP010,John Singh,kellyroberta@nunez.info,(447)659-5090x6608,IT Support,Network Engineer,2022-02-08,1540

EMP011,Daniel Lopez,rodriguezeric@potter-russell.biz,940.452.3940,R&D,Research Analyst,2023-06-14,6726

EMP012,Mary Miles,kevinacevedo@hotmail.com,+1-947-994-7236x212,Engineering,System Architect,2022-09-10,4703

EMP013,Kevin Johnson,sbrown@dickerson.net,990-465-3344,Operations,Operations Manager,2023-04-11,6213

EMP014,Sharon Shaw,smithmichelle@gmail.com,001-727-234-8815x308,R&D,Data Scientist,2023-11-25,3009

EMP015,John Brown,shane10@hotmail.com,9970029387,Finance,Accountant,2024-09-11,2504

EMP016,Joanne Reyes,kevin82@hotmail.com,+1-736-172-4234x67403,Sales,Sales Manager,2021-08-23,4562

EMP017,Ashley Holmes,wilkinsonpaul@oneal.com,4977736859,HR,HR Manager,2023-05-03,1380

EMP018,Steven Bailey,lauracurry@campbell-brown.com,+1-369-618-0198x623,Sales,Sales Manager,2025-08-17,2761

EMP019,Maria Church,mollydickson@yahoo.com,001-286-154-7428x58815,Finance,Accountant,2024-03-18,6975

EMP020,Zoe Pace,lharrison@hernandez.com,125-856-1876x835,HR,HR Manager,2020-12-22,6100

EMP021,Heidi Moyer,keith60@gmail.com,213.423.8517x7814,Sales,Account Manager,2022-10-20,824

EMP022,Linda Wade,elizabethgutierrez@bruce-chan.com,5016168378,Engineering,Software Engineer,2021-09-12,4600

EMP023,Meghan Mendez,josedavis@sosa-howard.info,(115)202-0475x3902,Marketing,Marketing Executive,2023-06-11,979

EMP024,Nicole Foley,andrew74@yahoo.com,625.683.3140x274,HR,Recruiter,2023-08-31,592

EMP025,Michelle Owens,xwilliams@hotmail.com,705-892-4143,R&D,AI Researcher,2021-03-02,4254

EMP026,Donna Guzman,kgray@yahoo.com,001-565-285-1743x571,Marketing,Marketing Executive,2025-02-27,3185

EMP027,Matthew Rosales,rebeccawiley@hotmail.com,3622204059,R&D,Data Scientist,2021-01-01,3149

EMP028,Maurice Parker,robert80@yahoo.com,+1-698-938-4561x84416,Marketing,SEO Specialist,2024-07-24,6801

EMP029,Sarah Rojas,courtneyjacobs@edwards.com,001-505-062-1539x9630,IT Support,Network Engineer,2022-04-28,1645

